fecha_reporte_web,departamento_nom,ciudad_municipio_nom,id_de_caso
23/7/2021 0:00:00,AMAZONAS,LETICIA,13
23/7/2021 0:00:00,ANTIOQUIA,ABEJORRAL,4
23/7/2021 0:00:00,ANTIOQUIA,AMAGA,2
23/7/2021 0:00:00,ANTIOQUIA,AMALFI,4
23/7/2021 0:00:00,ANTIOQUIA,ANDES,1
23/7/2021 0:00:00,ANTIOQUIA,ANGELOPOLIS,1
23/7/2021 0:00:00,ANTIOQUIA,ANGOSTURA,2
23/7/2021 0:00:00,ANTIOQUIA,ANORI,4
23/7/2021 0:00:00,ANTIOQUIA,APARTADO,31
23/7/2021 0:00:00,ANTIOQUIA,ARBOLETES,7
23/7/2021 0:00:00,ANTIOQUIA,BARBOSA,1
23/7/2021 0:00:00,ANTIOQUIA,BELLO,248
23/7/2021 0:00:00,ANTIOQUIA,BELMIRA,1
23/7/2021 0:00:00,ANTIOQUIA,BETULIA,1
23/7/2021 0:00:00,ANTIOQUIA,BOLIVAR,13
23/7/2021 0:00:00,ANTIOQUIA,CACERES,3
23/7/2021 0:00:00,ANTIOQUIA,CAICEDO,1
23/7/2021 0:00:00,ANTIOQUIA,CALDAS,33
23/7/2021 0:00:00,ANTIOQUIA,CAREPA,5
23/7/2021 0:00:00,ANTIOQUIA,CARMEN DE VIBORAL,3
23/7/2021 0:00:00,ANTIOQUIA,CAUCASIA,26
23/7/2021 0:00:00,ANTIOQUIA,CISNEROS,19
23/7/2021 0:00:00,ANTIOQUIA,COCORNA,3
23/7/2021 0:00:00,ANTIOQUIA,CONCORDIA,3
23/7/2021 0:00:00,ANTIOQUIA,COPACABANA,25
23/7/2021 0:00:00,ANTIOQUIA,DABEIBA,9
23/7/2021 0:00:00,ANTIOQUIA,DON MATIAS,3
23/7/2021 0:00:00,ANTIOQUIA,EL BAGRE,2
23/7/2021 0:00:00,ANTIOQUIA,ENTRERRIOS,1
23/7/2021 0:00:00,ANTIOQUIA,ENVIGADO,43
23/7/2021 0:00:00,ANTIOQUIA,FREDONIA,9
23/7/2021 0:00:00,ANTIOQUIA,FRONTINO,3
23/7/2021 0:00:00,ANTIOQUIA,GIRALDO,1
23/7/2021 0:00:00,ANTIOQUIA,GIRARDOTA,3
23/7/2021 0:00:00,ANTIOQUIA,GOMEZ PLATA,7
23/7/2021 0:00:00,ANTIOQUIA,GRANADA,1
23/7/2021 0:00:00,ANTIOQUIA,GUARNE,12
23/7/2021 0:00:00,ANTIOQUIA,GUATAPE,7
23/7/2021 0:00:00,ANTIOQUIA,ITAGUI,113
23/7/2021 0:00:00,ANTIOQUIA,ITUANGO,3
23/7/2021 0:00:00,ANTIOQUIA,JARDIN,5
23/7/2021 0:00:00,ANTIOQUIA,LA CEJA,11
23/7/2021 0:00:00,ANTIOQUIA,LA ESTRELLA,15
23/7/2021 0:00:00,ANTIOQUIA,LA PINTADA,2
23/7/2021 0:00:00,ANTIOQUIA,LA UNION,4
23/7/2021 0:00:00,ANTIOQUIA,LIBORINA,1
23/7/2021 0:00:00,ANTIOQUIA,MACEO,1
23/7/2021 0:00:00,ANTIOQUIA,MARINILLA,22
23/7/2021 0:00:00,ANTIOQUIA,MEDELLIN,770
23/7/2021 0:00:00,ANTIOQUIA,MONTEBELLO,3
23/7/2021 0:00:00,ANTIOQUIA,MUTATA,5
23/7/2021 0:00:00,ANTIOQUIA,NARIÑO,1
23/7/2021 0:00:00,ANTIOQUIA,NECOCLI,3
23/7/2021 0:00:00,ANTIOQUIA,PEÑOL,4
23/7/2021 0:00:00,ANTIOQUIA,PUEBLORRICO,7
23/7/2021 0:00:00,ANTIOQUIA,PUERTO BERRIO,15
23/7/2021 0:00:00,ANTIOQUIA,PUERTO TRIUNFO,1
23/7/2021 0:00:00,ANTIOQUIA,REMEDIOS,6
23/7/2021 0:00:00,ANTIOQUIA,RETIRO,7
23/7/2021 0:00:00,ANTIOQUIA,RIONEGRO,64
23/7/2021 0:00:00,ANTIOQUIA,SABANETA,21
23/7/2021 0:00:00,ANTIOQUIA,SAN FRANCISCO,2
23/7/2021 0:00:00,ANTIOQUIA,SAN JOSE DE LA MONTANA,2
23/7/2021 0:00:00,ANTIOQUIA,SAN JUAN DE URABA,7
23/7/2021 0:00:00,ANTIOQUIA,SAN LUIS,3
23/7/2021 0:00:00,ANTIOQUIA,SAN PEDRO,6
23/7/2021 0:00:00,ANTIOQUIA,SAN PEDRO DE URABA,3
23/7/2021 0:00:00,ANTIOQUIA,SAN RAFAEL,4
23/7/2021 0:00:00,ANTIOQUIA,SAN ROQUE,16
23/7/2021 0:00:00,ANTIOQUIA,SAN VICENTE,1
23/7/2021 0:00:00,ANTIOQUIA,SANTA BARBARA,1
23/7/2021 0:00:00,ANTIOQUIA,SANTA FE DE ANTIOQUIA,5
23/7/2021 0:00:00,ANTIOQUIA,SANTA ROSA DE OSOS,2
23/7/2021 0:00:00,ANTIOQUIA,SANTUARIO,9
23/7/2021 0:00:00,ANTIOQUIA,SEGOVIA,21
23/7/2021 0:00:00,ANTIOQUIA,SONSON,2
23/7/2021 0:00:00,ANTIOQUIA,SOPETRAN,15
23/7/2021 0:00:00,ANTIOQUIA,TAMESIS,4
23/7/2021 0:00:00,ANTIOQUIA,TARSO,1
23/7/2021 0:00:00,ANTIOQUIA,TURBO,8
23/7/2021 0:00:00,ANTIOQUIA,URAMITA,1
23/7/2021 0:00:00,ANTIOQUIA,URRAO,3
23/7/2021 0:00:00,ANTIOQUIA,VALDIVIA,5
23/7/2021 0:00:00,ANTIOQUIA,VALPARAISO,2
23/7/2021 0:00:00,ANTIOQUIA,VEGACHI,1
23/7/2021 0:00:00,ANTIOQUIA,VENECIA,4
23/7/2021 0:00:00,ANTIOQUIA,YARUMAL,11
23/7/2021 0:00:00,ANTIOQUIA,YOLOMBO,13
23/7/2021 0:00:00,ANTIOQUIA,ZARAGOZA,2
23/7/2021 0:00:00,ARAUCA,ARAUCA,14
23/7/2021 0:00:00,ARAUCA,ARAUQUITA,3
23/7/2021 0:00:00,ARAUCA,CRAVO NORTE,1
23/7/2021 0:00:00,ARAUCA,FORTUL,1
23/7/2021 0:00:00,ARAUCA,PUERTO RONDON,2
23/7/2021 0:00:00,ARAUCA,SARAVENA,12
23/7/2021 0:00:00,ARAUCA,TAME,12
23/7/2021 0:00:00,ATLANTICO,BARANOA,12
23/7/2021 0:00:00,ATLANTICO,CAMPO DE LA CRUZ,4
23/7/2021 0:00:00,ATLANTICO,GALAPA,8
23/7/2021 0:00:00,ATLANTICO,JUAN DE ACOSTA,11
23/7/2021 0:00:00,ATLANTICO,MALAMBO,19
23/7/2021 0:00:00,ATLANTICO,MANATI,2
23/7/2021 0:00:00,ATLANTICO,POLO NUEVO,1
23/7/2021 0:00:00,ATLANTICO,PONEDERA,5
23/7/2021 0:00:00,ATLANTICO,PUERTO COLOMBIA,4
23/7/2021 0:00:00,ATLANTICO,SABANAGRANDE,4
23/7/2021 0:00:00,ATLANTICO,SABANALARGA,8
23/7/2021 0:00:00,ATLANTICO,SANTA LUCIA,1
23/7/2021 0:00:00,ATLANTICO,SANTO TOMAS,5
23/7/2021 0:00:00,ATLANTICO,SOLEDAD,54
23/7/2021 0:00:00,ATLANTICO,SUAN,1
23/7/2021 0:00:00,ATLANTICO,TUBARA,6
23/7/2021 0:00:00,ATLANTICO,USIACURI,9
23/7/2021 0:00:00,BARRANQUILLA,BARRANQUILLA,217
23/7/2021 0:00:00,BOGOTA,BOGOTA,3826
23/7/2021 0:00:00,BOLIVAR,ALTOS DEL ROSARIO,1
23/7/2021 0:00:00,BOLIVAR,ARJONA,26
23/7/2021 0:00:00,BOLIVAR,BARRANCO DE LOBA,2
23/7/2021 0:00:00,BOLIVAR,CLEMENCIA,1
23/7/2021 0:00:00,BOLIVAR,CORDOBA,1
23/7/2021 0:00:00,BOLIVAR,HATILLO DE LOBA,4
23/7/2021 0:00:00,BOLIVAR,MAGANGUE,30
23/7/2021 0:00:00,BOLIVAR,MARIA LA BAJA,3
23/7/2021 0:00:00,BOLIVAR,MOMPOS,17
23/7/2021 0:00:00,BOLIVAR,PINILLOS,4
23/7/2021 0:00:00,BOLIVAR,RIO VIEJO,1
