fecha_reporte_web,departamento_nom,ciudad_municipio_nom,id_de_caso
28/7/2021 0:00:00,AMAZONAS,LETICIA,7
28/7/2021 0:00:00,ANTIOQUIA,ABEJORRAL,1
28/7/2021 0:00:00,ANTIOQUIA,AMAGA,5
28/7/2021 0:00:00,ANTIOQUIA,ANGOSTURA,1
28/7/2021 0:00:00,ANTIOQUIA,APARTADO,13
28/7/2021 0:00:00,ANTIOQUIA,ARBOLETES,4
28/7/2021 0:00:00,ANTIOQUIA,BARBOSA,3
28/7/2021 0:00:00,ANTIOQUIA,BELLO,103
28/7/2021 0:00:00,ANTIOQUIA,BETANIA,1
28/7/2021 0:00:00,ANTIOQUIA,BETULIA,2
28/7/2021 0:00:00,ANTIOQUIA,BOLIVAR,5
28/7/2021 0:00:00,ANTIOQUIA,BURITICA,2
28/7/2021 0:00:00,ANTIOQUIA,CALDAS,31
28/7/2021 0:00:00,ANTIOQUIA,CARMEN DE VIBORAL,5
28/7/2021 0:00:00,ANTIOQUIA,CAUCASIA,30
28/7/2021 0:00:00,ANTIOQUIA,CHIGORODO,2
28/7/2021 0:00:00,ANTIOQUIA,COCORNA,1
28/7/2021 0:00:00,ANTIOQUIA,CONCEPCION,5
28/7/2021 0:00:00,ANTIOQUIA,COPACABANA,10
28/7/2021 0:00:00,ANTIOQUIA,DABEIBA,1
28/7/2021 0:00:00,ANTIOQUIA,EL BAGRE,11
28/7/2021 0:00:00,ANTIOQUIA,ENTRERRIOS,10
28/7/2021 0:00:00,ANTIOQUIA,ENVIGADO,27
28/7/2021 0:00:00,ANTIOQUIA,FREDONIA,6
28/7/2021 0:00:00,ANTIOQUIA,FRONTINO,8
28/7/2021 0:00:00,ANTIOQUIA,GIRARDOTA,7
28/7/2021 0:00:00,ANTIOQUIA,GOMEZ PLATA,2
28/7/2021 0:00:00,ANTIOQUIA,GUARNE,2
28/7/2021 0:00:00,ANTIOQUIA,HISPANIA,1
28/7/2021 0:00:00,ANTIOQUIA,ITAGUI,103
28/7/2021 0:00:00,ANTIOQUIA,ITUANGO,1
28/7/2021 0:00:00,ANTIOQUIA,JARDIN,1
28/7/2021 0:00:00,ANTIOQUIA,JERICO,26
28/7/2021 0:00:00,ANTIOQUIA,LA CEJA,8
28/7/2021 0:00:00,ANTIOQUIA,LA ESTRELLA,2
28/7/2021 0:00:00,ANTIOQUIA,LA UNION,4
28/7/2021 0:00:00,ANTIOQUIA,MACEO,1
28/7/2021 0:00:00,ANTIOQUIA,MARINILLA,7
28/7/2021 0:00:00,ANTIOQUIA,MEDELLIN,709
28/7/2021 0:00:00,ANTIOQUIA,MUTATA,3
28/7/2021 0:00:00,ANTIOQUIA,NECOCLI,1
28/7/2021 0:00:00,ANTIOQUIA,PEÑOL,27
28/7/2021 0:00:00,ANTIOQUIA,PUEBLORRICO,1
28/7/2021 0:00:00,ANTIOQUIA,PUERTO BERRIO,23
28/7/2021 0:00:00,ANTIOQUIA,REMEDIOS,7
28/7/2021 0:00:00,ANTIOQUIA,RETIRO,2
28/7/2021 0:00:00,ANTIOQUIA,RIONEGRO,67
28/7/2021 0:00:00,ANTIOQUIA,SABANETA,24
28/7/2021 0:00:00,ANTIOQUIA,SAN FRANCISCO,1
28/7/2021 0:00:00,ANTIOQUIA,SAN JERONIMO,1
28/7/2021 0:00:00,ANTIOQUIA,SAN LUIS,2
28/7/2021 0:00:00,ANTIOQUIA,SAN PEDRO,2
28/7/2021 0:00:00,ANTIOQUIA,SAN PEDRO DE URABA,1
28/7/2021 0:00:00,ANTIOQUIA,SAN RAFAEL,1
28/7/2021 0:00:00,ANTIOQUIA,SAN ROQUE,1
28/7/2021 0:00:00,ANTIOQUIA,SANTA BARBARA,1
28/7/2021 0:00:00,ANTIOQUIA,SANTA FE DE ANTIOQUIA,3
28/7/2021 0:00:00,ANTIOQUIA,SANTA ROSA DE OSOS,5
28/7/2021 0:00:00,ANTIOQUIA,SANTUARIO,9
28/7/2021 0:00:00,ANTIOQUIA,SEGOVIA,7
28/7/2021 0:00:00,ANTIOQUIA,SOPETRAN,1
28/7/2021 0:00:00,ANTIOQUIA,TAMESIS,2
28/7/2021 0:00:00,ANTIOQUIA,TARSO,2
28/7/2021 0:00:00,ANTIOQUIA,TOLEDO,1
28/7/2021 0:00:00,ANTIOQUIA,TURBO,11
28/7/2021 0:00:00,ANTIOQUIA,URRAO,2
28/7/2021 0:00:00,ANTIOQUIA,VENECIA,4
28/7/2021 0:00:00,ANTIOQUIA,YARUMAL,12
28/7/2021 0:00:00,ANTIOQUIA,YOLOMBO,1
28/7/2021 0:00:00,ANTIOQUIA,ZARAGOZA,4
28/7/2021 0:00:00,ARAUCA,ARAUCA,9
28/7/2021 0:00:00,ARAUCA,ARAUQUITA,7
28/7/2021 0:00:00,ARAUCA,CRAVO NORTE,7
28/7/2021 0:00:00,ARAUCA,FORTUL,3
28/7/2021 0:00:00,ARAUCA,PUERTO RONDON,1
28/7/2021 0:00:00,ARAUCA,SARAVENA,9
28/7/2021 0:00:00,ARAUCA,TAME,16
28/7/2021 0:00:00,ATLANTICO,BARANOA,29
28/7/2021 0:00:00,ATLANTICO,CAMPO DE LA CRUZ,5
28/7/2021 0:00:00,ATLANTICO,CANDELARIA,5
28/7/2021 0:00:00,ATLANTICO,GALAPA,5
28/7/2021 0:00:00,ATLANTICO,JUAN DE ACOSTA,4
28/7/2021 0:00:00,ATLANTICO,LURUACO,3
28/7/2021 0:00:00,ATLANTICO,MALAMBO,16
28/7/2021 0:00:00,ATLANTICO,MANATI,2
28/7/2021 0:00:00,ATLANTICO,PALMAR DE VARELA,1
28/7/2021 0:00:00,ATLANTICO,PIOJO,1
28/7/2021 0:00:00,ATLANTICO,POLO NUEVO,2
28/7/2021 0:00:00,ATLANTICO,PONEDERA,2
28/7/2021 0:00:00,ATLANTICO,PUERTO COLOMBIA,10
28/7/2021 0:00:00,ATLANTICO,SABANAGRANDE,7
28/7/2021 0:00:00,ATLANTICO,SABANALARGA,18
28/7/2021 0:00:00,ATLANTICO,SOLEDAD,56
28/7/2021 0:00:00,ATLANTICO,TUBARA,3
28/7/2021 0:00:00,ATLANTICO,USIACURI,4
28/7/2021 0:00:00,BARRANQUILLA,BARRANQUILLA,325
28/7/2021 0:00:00,BOGOTA,BOGOTA,1972
28/7/2021 0:00:00,BOLIVAR,ALTOS DEL ROSARIO,20
28/7/2021 0:00:00,BOLIVAR,ARJONA,3
28/7/2021 0:00:00,BOLIVAR,BARRANCO DE LOBA,1
28/7/2021 0:00:00,BOLIVAR,CICUCO,1
28/7/2021 0:00:00,BOLIVAR,MAGANGUE,48
28/7/2021 0:00:00,BOLIVAR,MOMPOS,12
28/7/2021 0:00:00,BOLIVAR,MONTECRISTO,2
28/7/2021 0:00:00,BOLIVAR,MORALES,1
28/7/2021 0:00:00,BOLIVAR,SAN ESTANISLAO,2
28/7/2021 0:00:00,BOLIVAR,SAN PABLO,16
28/7/2021 0:00:00,BOLIVAR,SANTA ROSA DEL SUR,5
28/7/2021 0:00:00,BOLIVAR,TURBACO,8
28/7/2021 0:00:00,BOYACA,ARCABUCO,1
28/7/2021 0:00:00,BOYACA,BOAVITA,1
28/7/2021 0:00:00,BOYACA,CHIQUINQUIRA,9
28/7/2021 0:00:00,BOYACA,CHISCAS,1
28/7/2021 0:00:00,BOYACA,CUCAITA,1
28/7/2021 0:00:00,BOYACA,DUITAMA,24
28/7/2021 0:00:00,BOYACA,GUATEQUE,1
28/7/2021 0:00:00,BOYACA,LA UVITA,2
28/7/2021 0:00:00,BOYACA,MONIQUIRA,1
28/7/2021 0:00:00,BOYACA,MUZO,1
