fecha,cod_depto,nom_depto,MPIO_CDPMP,nom_mpio,num_casos,poblacion,casos_por_millon
2021-07-01,05,ANTIOQUIA,05665,SAN PEDRO DE URABA,20,30527.0,656.0
2021-07-01,05,ANTIOQUIA,05667,SAN RAFAEL,9,12578.0,716.0
2021-07-01,05,ANTIOQUIA,05670,SAN ROQUE,1,17792.0,57.0
2021-07-01,05,ANTIOQUIA,05674,SAN VICENTE,7,18051.0,388.0
2021-07-01,05,ANTIOQUIA,05679,SANTA BARBARA,4,22030.0,182.0
2021-07-01,05,ANTIOQUIA,05686,SANTA ROSA DE OSOS,28,31067.0,902.0
2021-07-01,05,ANTIOQUIA,05690,SANTO DOMINGO,1,9786.0,103.0
2021-07-01,05,ANTIOQUIA,05697,SANTUARIO,28,30311.0,924.0
2021-07-01,05,ANTIOQUIA,05736,SEGOVIA,52,33690.0,1544.0
2021-07-01,05,ANTIOQUIA,05756,SONSON,2,31861.0,63.0
2021-07-01,05,ANTIOQUIA,05761,SOPETRAN,1,13748.0,73.0
2021-07-01,05,ANTIOQUIA,05790,TARAZA,4,22826.0,176.0
2021-07-01,05,ANTIOQUIA,05792,TARSO,4,5663.0,707.0
2021-07-01,05,ANTIOQUIA,05809,TITIRIBI,12,8316.0,1444.0
2021-07-01,05,ANTIOQUIA,05819,TOLEDO,6,4930.0,1218.0
2021-07-01,05,ANTIOQUIA,05837,TURBO,19,114434.0,167.0
2021-07-01,05,ANTIOQUIA,05847,URRAO,16,29004.0,552.0
2021-07-01,05,ANTIOQUIA,05854,VALDIVIA,4,11511.0,348.0
2021-07-01,05,ANTIOQUIA,05856,VALPARAISO,7,5431.0,1289.0
2021-07-01,05,ANTIOQUIA,05858,VEGACHI,2,11134.0,180.0
2021-07-01,05,ANTIOQUIA,05861,VENECIA,6,10280.0,584.0
2021-07-01,05,ANTIOQUIA,05887,YARUMAL,22,36337.0,606.0
2021-07-01,05,ANTIOQUIA,05890,YOLOMBO,25,19010.0,1316.0
2021-07-01,05,ANTIOQUIA,05895,ZARAGOZA,16,24067.0,665.0
2021-07-01,08,ATLANTICO,08078,BARANOA,23,61527.0,374.0
2021-07-01,08,ATLANTICO,08137,CAMPO DE LA CRUZ,16,22810.0,702.0
2021-07-01,08,ATLANTICO,08296,GALAPA,11,55123.0,200.0
2021-07-01,08,ATLANTICO,08372,JUAN DE ACOSTA,5,18828.0,266.0
2021-07-01,08,ATLANTICO,08421,LURUACO,2,27647.0,73.0
2021-07-01,08,ATLANTICO,08433,MALAMBO,13,119920.0,109.0
2021-07-01,08,ATLANTICO,08436,MANATI,2,19233.0,104.0
2021-07-01,08,ATLANTICO,08520,PALMAR DE VARELA,10,27098.0,370.0
2021-07-01,08,ATLANTICO,08549,PIOJO,1,5636.0,178.0
2021-07-01,08,ATLANTICO,08558,POLO NUEVO,10,16222.0,617.0
2021-07-01,08,ATLANTICO,08560,PONEDERA,1,23420.0,43.0
2021-07-01,08,ATLANTICO,08573,PUERTO COLOMBIA,7,47899.0,147.0
2021-07-01,08,ATLANTICO,08606,REPELON,10,25467.0,393.0
2021-07-01,08,ATLANTICO,08634,SABANAGRANDE,7,32026.0,219.0
2021-07-01,08,ATLANTICO,08638,SABANALARGA,29,92480.0,314.0
2021-07-01,08,ATLANTICO,08675,SANTA LUCIA,1,12650.0,80.0
2021-07-01,08,ATLANTICO,08758,SOLEDAD,56,535984.0,105.0
2021-07-01,08,ATLANTICO,08770,SUAN,1,11607.0,87.0
2021-07-01,08,ATLANTICO,08832,TUBARA,1,12718.0,79.0
2021-07-01,11,BOGOTA,11001,BOGOTA,11545,7181469.0,1608.0
2021-07-01,13,BOLIVAR,13006,ACHI,1,18879.0,53.0
2021-07-01,13,BOLIVAR,13030,ALTOS DEL ROSARIO,6,9009.0,667.0
2021-07-01,13,BOLIVAR,13052,ARJONA,16,67118.0,239.0
