fecha_reporte_web,departamento,departamento_nom,ciudad_municipio,ciudad_municipio_nom,id_de_caso
20/8/2021 0:00:00,17,CALDAS,17380,LA DORADA,4
20/8/2021 0:00:00,17,CALDAS,17433,MANZANARES,1
20/8/2021 0:00:00,17,CALDAS,17541,PENSILVANIA,1
20/8/2021 0:00:00,17,CALDAS,17614,RIOSUCIO,1
20/8/2021 0:00:00,17,CALDAS,17777,SUPIA,3
20/8/2021 0:00:00,17,CALDAS,17873,VILLAMARIA,2
20/8/2021 0:00:00,17,CALDAS,17877,VITERBO,1
20/8/2021 0:00:00,18,CAQUETA,18001,FLORENCIA,16
20/8/2021 0:00:00,18,CAQUETA,18150,CARTAGENA DEL CHAIRA,3
20/8/2021 0:00:00,18,CAQUETA,18247,EL DONCELLO,1
20/8/2021 0:00:00,18,CAQUETA,18256,EL PAUJIL,1
20/8/2021 0:00:00,18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,1
20/8/2021 0:00:00,18,CAQUETA,18756,SOLANO,1
20/8/2021 0:00:00,18,CAQUETA,18785,SOLITA,1
20/8/2021 0:00:00,19,CAUCA,19001,POPAYAN,38
20/8/2021 0:00:00,19,CAUCA,19022,ALMAGUER,1
20/8/2021 0:00:00,19,CAUCA,19075,BALBOA,4
20/8/2021 0:00:00,19,CAUCA,19142,CALOTO,1
20/8/2021 0:00:00,19,CAUCA,19256,EL TAMBO,4
20/8/2021 0:00:00,19,CAUCA,19455,MIRANDA,1
20/8/2021 0:00:00,19,CAUCA,19517,PAEZ,1
20/8/2021 0:00:00,19,CAUCA,19532,PATIA (EL BORDO),20
20/8/2021 0:00:00,19,CAUCA,19548,PIENDAMO,5
20/8/2021 0:00:00,19,CAUCA,19573,PUERTO TEJADA,4
20/8/2021 0:00:00,19,CAUCA,19622,ROSAS,1
20/8/2021 0:00:00,19,CAUCA,19698,SANTANDER DE QUILICHAO,4
20/8/2021 0:00:00,19,CAUCA,19743,SILVIA,59
20/8/2021 0:00:00,19,CAUCA,19807,TIMBIO,4
20/8/2021 0:00:00,19,CAUCA,19824,TOTORO,2
20/8/2021 0:00:00,20,CESAR,20001,VALLEDUPAR,53
20/8/2021 0:00:00,20,CESAR,20011,AGUACHICA,2
20/8/2021 0:00:00,20,CESAR,20013,AGUSTIN CODAZZI,2
20/8/2021 0:00:00,20,CESAR,20060,BOSCONIA,1
20/8/2021 0:00:00,20,CESAR,20178,CHIRIGUANA,2
20/8/2021 0:00:00,20,CESAR,20238,EL COPEY,2
20/8/2021 0:00:00,20,CESAR,20443,MANAURE BALCON DEL CESAR,1
20/8/2021 0:00:00,20,CESAR,20621,ROBLES (LA PAZ),1
